chapter	sentence_id	token_id	token	target
baskervilles01	0	0	chapter	O
baskervilles01	0	2	mr.	O
baskervilles01	0	3	sherlock	O
baskervilles01	0	4	holmes	O
baskervilles01	1	0	mr.	O
baskervilles01	1	1	sherlock	O
baskervilles01	1	2	holmes	O
baskervilles01	1	6	usually	O
baskervilles01	1	8	late	O
baskervilles01	1	11	mornings	O
baskervilles01	1	13	save	B-NEG
baskervilles01	1	14	upon	O
baskervilles01	1	16	not	B-NEG
baskervilles01	1	17	infrequent	B-NEG
baskervilles01	1	18	occasions	O
baskervilles01	1	24	night	O
baskervilles01	1	27	seated	O
baskervilles01	1	30	breakfast	O
baskervilles01	1	31	table	O
baskervilles01	2	1	stood	O
baskervilles01	2	2	upon	O
baskervilles01	2	4	hearth-rug	O
baskervilles01	2	6	picked	O
baskervilles01	2	9	stick	O
baskervilles01	2	12	visitor	O
baskervilles01	2	14	left	O
baskervilles01	2	15	behind	O
baskervilles01	2	18	night	O
baskervilles01	3	3	fine	O
baskervilles01	3	5	thick	O
baskervilles01	3	6	piece	O
baskervilles01	3	8	wood	O
baskervilles01	3	10	bulbous-headed	O
baskervilles01	3	14	sort	O
baskervilles01	3	17	known	O
baskervilles01	3	21	penang	O
baskervilles01	3	22	lawyer	O
baskervilles01	4	3	head	O
baskervilles01	4	6	broad	O
baskervilles01	4	7	silver	O
baskervilles01	4	8	band	O
baskervilles01	4	9	nearly	O
baskervilles01	4	11	inch	O
baskervilles01	4	12	across	O
baskervilles01	5	2	james	O
baskervilles01	5	3	mortimer	O
baskervilles01	5	5	m.r.c.s.	O
baskervilles01	5	9	friends	O
baskervilles01	5	12	c.c.h.	O
baskervilles01	5	16	engraved	O
baskervilles01	5	17	upon	O
baskervilles01	5	22	date	O
baskervilles01	6	5	stick	O
baskervilles01	6	8	old-fashioned	O
baskervilles01	6	9	family	O
baskervilles01	6	10	practitioner	O
baskervilles01	6	11	used	O
baskervilles01	6	13	carry	O
baskervilles01	6	15	dignified	O
baskervilles01	6	17	solid	O
baskervilles01	6	20	reassuring	O
baskervilles01	7	1	well	O
baskervilles01	7	3	watson	O
baskervilles01	7	8	make	O
baskervilles01	8	0	holmes	O
baskervilles01	8	2	sitting	O
baskervilles01	8	5	back	O
baskervilles01	8	12	given	O
baskervilles01	8	14	no	B-NEG
