chapter	sentence_id	token_id	token	target	pos	in_NegExpList	stem	has_negation_affix	vector
baskervilles01	0	0	chapter	O	NN	False	chapter	False	0.060188543
baskervilles01	0	2	mr.	O	NN	False	mr.	False	0.03535331
baskervilles01	0	3	sherlock	O	NNP	False	sherlock	False	-0.07102086
baskervilles01	0	4	holmes	O	VBZ	False	holm	False	-0.08031207
baskervilles01	1	0	mr.	O	JJ	False	mr.	False	-0.1051473
baskervilles01	1	1	sherlock	O	NNP	False	sherlock	False	-0.21152148
baskervilles01	1	2	holmes	O	VBZ	False	holm	False	-0.2208127
baskervilles01	1	6	usually	O	RB	False	usual	False	-0.38328522
baskervilles01	1	8	late	O	JJ	False	late	False	-0.34203207
baskervilles01	1	11	mornings	O	NNS	False	morn	False	-0.3624159
baskervilles01	1	13	save	O	VBP	False	save	False	-0.3998714
baskervilles01	1	14	upon	O	IN	False	upon	False	-0.4378473
baskervilles01	1	16	not	O	RB	True	not	False	-0.4697369
baskervilles01	1	17	infrequent	B-NEG	JJ	False	infrequ	True	-0.7030153
baskervilles01	1	18	occasions	O	NNS	False	occas	False	-0.7013293
baskervilles01	1	24	night	O	NN	False	night	False	-0.72556275
baskervilles01	1	27	seated	O	VBN	False	seat	False	-0.70547277
baskervilles01	1	30	breakfast	O	NN	False	breakfast	False	-0.84823895
baskervilles01	1	31	table	O	NN	False	tabl	False	-0.96129274
baskervilles01	2	1	stood	O	VBD	False	stood	False	-0.8413138
baskervilles01	2	2	upon	O	IN	False	upon	False	-0.8792896
baskervilles01	2	4	hearth-rug	O	JJ	False	hearth-rug	False	-0.035759382
baskervilles01	2	6	picked	O	VBD	False	pick	False	-0.013574563
baskervilles01	2	9	stick	O	JJ	False	stick	False	-0.1464301
baskervilles01	2	12	visitor	O	NN	False	visitor	False	-0.11922119
baskervilles01	2	14	left	O	VBD	False	left	False	-0.19034037
baskervilles01	2	15	behind	O	RP	False	behind	False	-0.22464278
baskervilles01	2	18	night	O	NN	False	night	False	-0.24887626
baskervilles01	3	3	fine	O	JJ	False	fine	False	-0.1515431
baskervilles01	3	5	thick	O	JJ	False	thick	False	-0.35462004
baskervilles01	3	6	piece	O	NN	False	piec	False	-0.4817515
baskervilles01	3	8	wood	O	VBD	False	wood	False	-0.62297976
baskervilles01	3	10	bulbous-headed	O	JJ	False	bulbous-head	False	-0.37324107
baskervilles01	3	14	sort	O	NN	False	sort	False	-0.3672742
baskervilles01	3	17	known	O	VBN	False	known	False	-0.44148564
baskervilles01	3	21	penang	O	NN	False	penang	False	-0.48916167
baskervilles01	3	22	lawyer	O	NN	False	lawyer	False	-0.42562
baskervilles01	4	3	head	O	NN	False	head	False	-0.44534782
baskervilles01	4	6	broad	O	JJ	False	broad	False	-0.50461376
baskervilles01	4	7	silver	O	NN	False	silver	False	-0.40241504
baskervilles01	4	8	band	O	VBP	False	band	False	-0.42141098
baskervilles01	4	9	nearly	O	RB	False	near	False	-0.34988055
baskervilles01	4	11	inch	O	JJ	False	inch	False	-0.53430045
baskervilles01	4	12	across	O	IN	False	across	False	-0.56267685
baskervilles01	5	2	james	O	NNS	False	jame	False	-0.5686654
baskervilles01	5	3	mortimer	O	VBP	False	mortim	False	-0.595689
baskervilles01	5	5	m.r.c.s.	O	JJ	False	m.r.c.s.	False	-0.4433687
baskervilles01	5	9	friends	O	NNS	False	friend	False	-0.3589836
baskervilles01	5	12	c.c.h.	O	VBP	False	c.c.h.	False	-0.4005802
baskervilles01	5	16	engraved	O	VBN	False	engrav	False	-0.5033733
baskervilles01	5	17	upon	O	IN	False	upon	False	-0.5413492
baskervilles01	5	22	date	O	NN	False	date	False	-0.5671485
baskervilles01	6	5	stick	O	JJ	False	stick	False	-0.70000404
baskervilles01	6	8	old-fashioned	O	JJ	False	old-fashion	False	-0.6960486
baskervilles01	6	9	family	O	NN	False	famili	False	-0.62765133
baskervilles01	6	10	practitioner	O	NN	False	practition	False	-0.5880413
baskervilles01	6	11	used	O	VBN	False	use	False	-0.67036474
baskervilles01	6	13	carry	O	NN	False	carri	False	-0.7559899
baskervilles01	6	15	dignified	O	VBD	False	dignifi	False	-0.72387105
baskervilles01	6	17	solid	O	JJ	False	solid	False	-0.80830556
