chapter	sentence_id	token_id	token	target	pos	in_NegExpList	stem	has_negation_affix	vector
baskervilles01	0	0	chapter	O	NN	False	chapter	False	-0.0067289625
baskervilles01	0	2	mr.	O	NN	False	mr.	False	-0.0067289625
baskervilles01	0	3	sherlock	O	NNP	False	sherlock	False	-0.0067289625
baskervilles01	0	4	holmes	O	VBZ	False	holm	False	-0.0067289625
baskervilles01	1	0	mr.	O	JJ	False	mr.	False	-0.0067289625
baskervilles01	1	1	sherlock	O	NNP	False	sherlock	False	-0.0067289625
baskervilles01	1	2	holmes	O	VBZ	False	holm	False	-0.0067289625
baskervilles01	1	6	usually	O	RB	False	usual	False	-0.0067289625
baskervilles01	1	8	late	O	JJ	False	late	False	-0.0067289625
baskervilles01	1	11	mornings	O	NNS	False	morn	False	-0.0067289625
baskervilles01	1	13	save	B-NEG	VBP	False	save	False	-0.0067289625
baskervilles01	1	14	upon	O	IN	False	upon	False	-0.0067289625
baskervilles01	1	16	not	B-NEG	RB	True	not	False	-0.0067289625
baskervilles01	1	17	infrequent	B-NEG	JJ	False	infrequ	True	-0.0067289625
baskervilles01	1	18	occasions	O	NNS	False	occas	False	-0.0067289625
baskervilles01	1	24	night	O	NN	False	night	False	-0.0067289625
baskervilles01	1	27	seated	O	VBN	False	seat	False	-0.0067289625
baskervilles01	1	30	breakfast	O	NN	False	breakfast	False	-0.0067289625
baskervilles01	1	31	table	O	NN	False	tabl	False	-0.0067289625
baskervilles01	2	1	stood	O	VBD	False	stood	False	-0.0067289625
baskervilles01	2	2	upon	O	IN	False	upon	False	-0.0067289625
baskervilles01	2	4	hearth-rug	O	JJ	False	hearth-rug	False	-0.0067289625
baskervilles01	2	6	picked	O	VBD	False	pick	False	-0.0067289625
baskervilles01	2	9	stick	O	JJ	False	stick	False	-0.0067289625
baskervilles01	2	12	visitor	O	NN	False	visitor	False	-0.0067289625
baskervilles01	2	14	left	O	VBD	False	left	False	-0.0067289625
baskervilles01	2	15	behind	O	RP	False	behind	False	-0.0067289625
baskervilles01	2	18	night	O	NN	False	night	False	-0.0067289625
baskervilles01	3	3	fine	O	JJ	False	fine	False	-0.0067289625
baskervilles01	3	5	thick	O	JJ	False	thick	False	-0.0067289625
baskervilles01	3	6	piece	O	NN	False	piec	False	-0.0067289625
baskervilles01	3	8	wood	O	VBD	False	wood	False	-0.0067289625
baskervilles01	3	10	bulbous-headed	O	JJ	False	bulbous-head	False	-0.0067289625
